PRODUCT,DESC,UPC,QTY ON HAND,QTY HELD,TOTAL QUANTITY AVAILABLE
R002-11,Diamond Rug Big Black-White,' 8902552050064,0,0,0
R002-15,Diamond Rug Runner Turquoise  ,' 8902552051092,0,0,0
R002-16,Diamond Rug Runner Navy-Ivory,' 8902552051108,0,0,0
R002-17,Diamond Rug Big Turquoise  ,' 8902552051115,18,0,18
R002-18,Diamond Rug Big Navy-Ivory,' 8902552051122,0,0,0
R002-19,Diamond Rug Big Linen-White,' 8902552051733,0,0,0
R002-2,Diamond Rug - Gray,' 8902552048085,25,20,5
R002-20,Diamond Rug Big Linen-White,' 8902552051740,5,0,5
R002-21,Diamond Rug Big Black-White,' 8902552052082,22,0,22
R002-3,Diamond Rug Brown-Ivory,' 8902552049129,55,0,55
R002-4,Diamond Rug Red-Ivory,' 8902552049136,20,0,20
R002-5,Diamond Rug  Navy Ivory,' 8902552048856,319,0,319
R002-6,Diamond Rug  Linen-White,' 8902552048894,212,0,212
R002-7,Diamond Rug  Turquoise  ,' 8902552050095,96,0,96
R002-8,Diamond Rug Runner Gray-white,' 8902552050033,0,0,0
R002-9,Diamond Rug Runner Black-White,' 8902552050040,0,0,0
R003-1,Rainbow Multi Chindi Round Rag Rug Multi,' 8902552048863,27,0,27
R003-2,Rainbow Multi Chindi Round Rag Rug Multi,' 8902552048870,25,0,25
R003-3,Rainbow Multi Chindi Round Rag Rug Multi,' 8902552048887,26,0,26
R004-1,Chindi Border Stripe 2 Pc Rug Set Multi Blue,' 8902552050156,125,0,125
R005-1,Denim  Jute Rug Runner Blue,' 8902552050163,52,0,52
R005-2,Denim  Jute Rug Blue,' 8902552050194,0,0,0
R005-3,Denim  Jute Round Rug Blue,' 8902552050651,55,0,55
R006-1,Ultimate Shag Black,' 8902552050668,57,0,57
R006-3,Ultimate Shag Teal,' 8902552050682,26,0,26
R007-1,Ultimate Shag Black,' 8902552050705,9,0,9
R007-2,ULTIMATE SHAG RUG 93"x117" GREY,' 8902552050712,1,0,1
R007-3,Ultimate Shag Teal,' 8902552050729,3,0,3
R007-4,ULTIMATE SHAG RUG 93"x117" IVORY,' 8902552050736,1,0,1
R008-1,Ultimate Shag Black,' 8902552050743,17,0,17
R008-2,Ultimate Shag Grey,' 8902552050750,14,0,14
R008-3,Ultimate Shag Teal,' 8902552050767,1,0,1
R008-4,Ultimate Shag Ivory  ,' 8902552050774,12,0,12
R010-1,Providence Natural Jute Rug- Natural,' 8902552050798,0,0,0
R012-1,Providence Natural Jute Rug-Natural,' 8902552050811,18,0,18
